Name,Set Number,Set Name,Price (1),Date (1),Price (2),Date (2),$ Change
Cyber Emergency,GEIM-EN042,Genesis Impact,1.14,2021-07-03 ,0.35,2023-10-01 ,-0.79
Extra-Foolish Burial,GEIM-EN043,Genesis Impact,0.15,2021-07-03 ,0.05,2023-10-01 ,-0.1
Born from Draconis,GEIM-EN044,Genesis Impact,0.05,2021-07-03 ,0.04,2023-10-01 ,-0.01
Bottomless Trap Hole,GEIM-EN045,Genesis Impact,0.26,2021-07-03 ,0.16,2023-10-01 ,-0.1
Herald of Ultimateness,GEIM-EN046,Genesis Impact,0.16,2021-07-03 ,0.08,2023-10-01 ,-0.08
Beat Cop from the Underworld,GEIM-EN048,Genesis Impact,0.21,2021-07-03 ,0.2,2023-10-01 ,-0.01
Beat Cop from the Underworld (CR),GEIM-EN048,Genesis Impact,36.25,2021-07-03 ,17.87,2023-10-01 ,-18.38
Backup Secretary,GEIM-EN049,Genesis Impact,0.13,2021-07-03 ,0.1,2023-10-01 ,-0.03
Backup Secretary,GFTP-EN088,Ghosts From the Past,0.56,2021-07-03 ,0.28,2023-10-01 ,-0.28
Knightmare Unicorn (CR),GEIM-EN050,Genesis Impact,83.27,2021-07-03 ,46.08,2023-10-01 ,-37.19
Knightmare Phoenix (CR),GEIM-EN051,Genesis Impact,79.59,2021-07-03 ,60.64,2023-10-01 ,-18.95
Aleister the Invoker of Madness (CR),GEIM-EN053,Genesis Impact,29.98,2021-07-03 ,12.29,2023-10-01 ,-17.69
The Book of the Law,GEIM-EN054,Genesis Impact,0.14,2021-07-03 ,0.05,2023-10-01 ,-0.09
Invoked Cocytus,GEIM-EN055,Genesis Impact,0.18,2021-07-03 ,0.07,2023-10-01 ,-0.11
Invoked Magellanica,GEIM-EN056,Genesis Impact,0.17,2021-07-03 ,0.06,2023-10-01 ,-0.11
Cynet Regression,GEIM-EN057,Genesis Impact,0.16,2021-07-03 ,0.07,2023-10-01 ,-0.09
"World Legacy - ""World Lance""",GEIM-EN058,Genesis Impact,0.07,2021-07-03 ,0.06,2023-10-01 ,-0.01
Engraver of the Mark,GEIM-EN059,Genesis Impact,0.07,2021-07-03 ,0.08,2023-10-01 ,0.01
Performage Damage Juggler,GEIM-EN060,Genesis Impact,0.17,2021-07-03 ,0.08,2023-10-01 ,-0.09
"Rilliona, the Magistus of Verre (CR)",GEIM-EN003,Genesis Impact,44.27,2021-07-03 ,19.34,2023-10-01 ,-24.93
War Rock Mountain,BLVO-EN000,Blazing Vortex,4.8,2021-07-03 ,1.09,2023-10-01 ,-3.71
Armed Dragon Thunder LV10,BLVO-EN001,Blazing Vortex,3.54,2021-07-03 ,2.24,2023-10-01 ,-1.3
Armed Dragon Thunder LV7,BLVO-EN002,Blazing Vortex,4.04,2021-07-03 ,0.67,2023-10-01 ,-3.37
Armed Dragon Thunder LV5,BLVO-EN003,Blazing Vortex,0.52,2021-07-03 ,0.42,2023-10-01 ,-0.1
Armed Dragon Thunder LV3,BLVO-EN004,Blazing Vortex,0.64,2021-07-03 ,0.46,2023-10-01 ,-0.18
Armed Dragon LV10 White,BLVO-EN005,Blazing Vortex,1.08,2021-07-03 ,0.67,2023-10-01 ,-0.41
Springans Rockey,BLVO-EN006,Blazing Vortex,0.13,2021-07-03 ,0.13,2023-10-01 ,0.0
Springans Pedor,BLVO-EN007,Blazing Vortex,0.12,2021-07-03 ,0.06,2023-10-01 ,-0.06
Springans Branga,BLVO-EN008,Blazing Vortex,0.12,2021-07-03 ,0.06,2023-10-01 ,-0.06
Springans Captain Sargas,BLVO-EN009,Blazing Vortex,0.12,2021-07-03 ,0.09,2023-10-01 ,-0.03
Tri-Brigade Kitt,BLVO-EN010,Blazing Vortex,1.65,2021-07-03 ,0.74,2023-10-01 ,-0.91
S-Force Rappa Chiyomaru,BLVO-EN011,Blazing Vortex,3.62,2021-07-03 ,2.37,2023-10-01 ,-1.25
S-Force Professor DiGamma,BLVO-EN012,Blazing Vortex,0.13,2021-07-03 ,0.06,2023-10-01 ,-0.07
S-Force Orrafist,BLVO-EN013,Blazing Vortex,0.19,2021-07-03 ,0.15,2023-10-01 ,-0.04
S-Force Gravitino,BLVO-EN014,Blazing Vortex,0.63,2021-07-03 ,0.37,2023-10-01 ,-0.26
Windwitch - Blizzard Bell,BLVO-EN016,Blazing Vortex,0.11,2021-07-03 ,0.08,2023-10-01 ,-0.03
S-Force Pla-Tina,BLVO-EN015,Blazing Vortex,1.06,2021-07-03 ,0.73,2023-10-01 ,-0.33
Windwitch - Freeze Bell,BLVO-EN017,Blazing Vortex,0.93,2021-07-03 ,0.41,2023-10-01 ,-0.52
Fabled Marcosia,BLVO-EN018,Blazing Vortex,0.05,2021-07-03 ,0.05,2023-10-01 ,0.0
The Fabled Abanc,BLVO-EN019,Blazing Vortex,0.09,2021-07-03 ,0.06,2023-10-01 ,-0.03
Parametalfoes Melcaster,BLVO-EN020,Blazing Vortex,0.11,2021-07-03 ,0.07,2023-10-01 ,-0.04
Metalfoes Vanisher,BLVO-EN021,Blazing Vortex,0.23,2021-07-03 ,0.16,2023-10-01 ,-0.07
Constellar Caduceus,BLVO-EN022,Blazing Vortex,0.17,2021-07-03 ,0.2,2023-10-01 ,0.03
Digital Bug Registrider,BLVO-EN023,Blazing Vortex,0.09,2021-07-03 ,0.11,2023-10-01 ,0.02
"Maha Vailo, Light of the Heavens",BLVO-EN024,Blazing Vortex,0.2,2021-07-03 ,0.14,2023-10-01 ,-0.06
"Neiroy, the Dream Mirror Disciple",BLVO-EN026,Blazing Vortex,0.15,2021-07-03 ,0.05,2023-10-01 ,-0.1
Ancient Warriors - Rebellious Lu Feng,BLVO-EN025,Blazing Vortex,0.22,2021-07-03 ,0.23,2023-10-01 ,0.01
Machina Unclaspare,BLVO-EN027,Blazing Vortex,0.14,2021-07-03 ,0.06,2023-10-01 ,-0.08
Live Twin Lil-la Treat,BLVO-EN028,Blazing Vortex,2.39,2021-07-03 ,0.67,2023-10-01 ,-1.72
Heavenly Zephyr - Miradora,BLVO-EN029,Blazing Vortex,6.78,2021-07-03 ,1.06,2023-10-01 ,-5.72
Fairy Archer Ingunar,BLVO-EN030,Blazing Vortex,0.12,2021-07-03 ,0.08,2023-10-01 ,-0.04
Radiant Vouirescence,BLVO-EN031,Blazing Vortex,0.06,2021-07-03 ,0.05,2023-10-01 ,-0.01
Gigathunder Giclops,BLVO-EN032,Blazing Vortex,0.08,2021-07-03 ,0.05,2023-10-01 ,-0.03
Amanokujaki,BLVO-EN033,Blazing Vortex,0.1,2021-07-03 ,0.07,2023-10-01 ,-0.03
Guitar Gurnards Duonigis,BLVO-EN034,Blazing Vortex,0.08,2021-07-03 ,0.05,2023-10-01 ,-0.03
Wightbaking,BLVO-EN035,Blazing Vortex,0.44,2021-07-03 ,0.3,2023-10-01 ,-0.14
Ojama Pink,BLVO-EN036,Blazing Vortex,0.15,2021-07-03 ,0.14,2023-10-01 ,-0.01
Knight of Armor Dragon,BLVO-EN037,Blazing Vortex,0.09,2021-07-03 ,0.14,2023-10-01 ,0.05
Sprind the Irondash Dragon,BLVO-EN038,Blazing Vortex,0.14,2021-07-03 ,0.08,2023-10-01 ,-0.06
Parametalfoes Azortless,BLVO-EN039,Blazing Vortex,0.19,2021-07-03 ,0.11,2023-10-01 ,-0.08
Eldlich the Mad Golden Lord,BLVO-EN040,Blazing Vortex,2.96,2021-07-03 ,0.91,2023-10-01 ,-2.05
Dual Avatar - Empowered Mitsu-Jaku,BLVO-EN041,Blazing Vortex,0.53,2021-07-03 ,0.33,2023-10-01 ,-0.2
Windwitch - Diamond Bell,BLVO-EN043,Blazing Vortex,0.36,2021-07-03 ,0.27,2023-10-01 ,-0.09
"Oneiros, the Dream Mirror Tormentor",BLVO-EN042,Blazing Vortex,0.21,2021-07-03 ,0.25,2023-10-01 ,0.04
Fabled Andwraith,BLVO-EN044,Blazing Vortex,0.16,2021-07-03 ,0.13,2023-10-01 ,-0.03
Dragunity Knight - Gormfaobhar,BLVO-EN045,Blazing Vortex,0.22,2021-07-03 ,0.16,2023-10-01 ,-0.06
Springans Ship - Exblowrer,BLVO-EN046,Blazing Vortex,2.43,2021-07-03 ,0.8,2023-10-01 ,-1.63
"Sacred Tree Beast, Hyperyton",BLVO-EN047,Blazing Vortex,0.81,2021-07-03 ,0.45,2023-10-01 ,-0.36
Salvage,GFTP-EN107,Ghosts From the Past,0.68,2021-07-03 ,0.45,2023-10-01 ,-0.23
Salvage,SDFC-EN032,Freezing Chains,0.31,2021-07-03 ,0.26,2023-10-01 ,-0.05
S-Force Justify,BLVO-EN048,Blazing Vortex,1.09,2021-07-03 ,0.87,2023-10-01 ,-0.22
Heavymetalfoes Amalgam,BLVO-EN049,Blazing Vortex,0.09,2021-07-03 ,0.07,2023-10-01 ,-0.02
Underworld Goddess of the Closed World,BLVO-EN050,Blazing Vortex,20.29,2021-07-03 ,14.11,2023-10-01 ,-6.18
Armed Dragon Flash,BLVO-EN051,Blazing Vortex,5.2,2021-07-03 ,2.11,2023-10-01 ,-3.09
Armed Dragon Blitz,BLVO-EN052,Blazing Vortex,0.18,2021-07-03 ,0.09,2023-10-01 ,-0.09
Armed Dragon Lightning,BLVO-EN053,Blazing Vortex,0.19,2021-07-03 ,0.11,2023-10-01 ,-0.08
Springans Watch,BLVO-EN054,Blazing Vortex,0.26,2021-07-03 ,0.42,2023-10-01 ,0.16
Great Sand Sea - Gold Golgonda,BLVO-EN055,Blazing Vortex,0.24,2021-07-03 ,0.41,2023-10-01 ,0.17
Tri-Brigade Rendezvous,BLVO-EN056,Blazing Vortex,0.16,2021-07-03 ,0.07,2023-10-01 ,-0.09
S-Force Bridgehead,BLVO-EN057,Blazing Vortex,2.89,2021-07-03 ,1.1,2023-10-01 ,-1.79
Windwitch Chimes,BLVO-EN059,Blazing Vortex,0.23,2021-07-03 ,0.15,2023-10-01 ,-0.08
S-Force Showdown,BLVO-EN058,Blazing Vortex,0.16,2021-07-03 ,0.06,2023-10-01 ,-0.1
Stairway to a Fabled Realm,BLVO-EN060,Blazing Vortex,0.08,2021-07-03 ,0.04,2023-10-01 ,-0.04
Parametalfoes Fusion,BLVO-EN061,Blazing Vortex,0.12,2021-07-03 ,0.05,2023-10-01 ,-0.07
Seven Cities of the Golden Land,BLVO-EN062,Blazing Vortex,0.88,2021-07-03 ,0.98,2023-10-01 ,0.1
Archfiend's Staff of Despair,BLVO-EN063,Blazing Vortex,0.07,2021-07-03 ,0.06,2023-10-01 ,-0.01
Armor Dragon Ritual,BLVO-EN064,Blazing Vortex,0.09,2021-07-03 ,0.12,2023-10-01 ,0.03
Pot of Prosperity,BLVO-EN065,Blazing Vortex,106.03,2021-07-03 ,50.03,2023-10-01 ,-56.0
Tilted Try,BLVO-EN066,Blazing Vortex,0.1,2021-07-03 ,0.07,2023-10-01 ,-0.03
Springans Call!,BLVO-EN068,Blazing Vortex,0.11,2021-07-03 ,0.1,2023-10-01 ,-0.01
Armed Dragon Thunderbolt,BLVO-EN067,Blazing Vortex,0.21,2021-07-03 ,0.2,2023-10-01 ,-0.01
Springans Blast!,BLVO-EN069,Blazing Vortex,0.12,2021-07-03 ,0.07,2023-10-01 ,-0.05
S-Force Specimen,BLVO-EN071,Blazing Vortex,0.13,2021-07-03 ,0.07,2023-10-01 ,-0.06
Dogmatika Genesis,BLVO-EN070,Blazing Vortex,0.09,2021-07-03 ,0.07,2023-10-01 ,-0.02
Icy Breeze Refrain,BLVO-EN072,Blazing Vortex,0.1,2021-07-03 ,0.06,2023-10-01 ,-0.04
Fabled Treason,BLVO-EN073,Blazing Vortex,0.07,2021-07-03 ,0.05,2023-10-01 ,-0.02
Ancient Warriors Saga - Chivalrous Path,BLVO-EN074,Blazing Vortex,0.11,2021-07-03 ,0.09,2023-10-01 ,-0.02
Virtual World Gate - Xuanwu,BLVO-EN075,Blazing Vortex,0.21,2021-07-03 ,0.1,2023-10-01 ,-0.11
Dual Avatar Ascendance,BLVO-EN076,Blazing Vortex,0.1,2021-07-03 ,0.08,2023-10-01 ,-0.02
Dream Mirror Recap,BLVO-EN077,Blazing Vortex,0.14,2021-07-03 ,0.07,2023-10-01 ,-0.07
E.M.R.,BLVO-EN078,Blazing Vortex,0.21,2021-07-03 ,0.14,2023-10-01 ,-0.07
Angel Statue - Azurune,BLVO-EN079,Blazing Vortex,0.43,2021-07-03 ,0.24,2023-10-01 ,-0.19
Linear Equation Cannon,BLVO-EN080,Blazing Vortex,0.09,2021-07-03 ,0.06,2023-10-01 ,-0.03
Materiactor Gigadra,BLVO-EN081,Blazing Vortex,0.16,2021-07-03 ,0.1,2023-10-01 ,-0.06
Raging Storm Dragon - Beaufort IX,BLVO-EN082,Blazing Vortex,0.11,2021-07-03 ,0.08,2023-10-01 ,-0.03
Coordius the Triphasic Dealmon,BLVO-EN083,Blazing Vortex,0.59,2021-07-03 ,0.32,2023-10-01 ,-0.27
Materiactor Gigaboros,BLVO-EN084,Blazing Vortex,0.18,2021-07-03 ,0.11,2023-10-01 ,-0.07
Steel Star Regulator,BLVO-EN085,Blazing Vortex,0.1,2021-07-03 ,0.07,2023-10-01 ,-0.03
Breath of Acclamation,BLVO-EN086,Blazing Vortex,0.08,2021-07-03 ,0.09,2023-10-01 ,0.01
Breath of Acclamation,OP16-EN026,OTS Tournament Pack 16,0.68,2021-07-03 ,0.06,2023-10-01 ,-0.62
Greater Polymerization,BLVO-EN087,Blazing Vortex,2.59,2021-07-03 ,0.98,2023-10-01 ,-1.61
Reinforcement of the Army's Troops,BLVO-EN088,Blazing Vortex,0.1,2021-07-03 ,0.05,2023-10-01 ,-0.05
Psychic Eraser Laser,BLVO-EN089,Blazing Vortex,0.45,2021-07-03 ,0.66,2023-10-01 ,0.21
Synchro Transmission,BLVO-EN090,Blazing Vortex,0.11,2021-07-03 ,0.08,2023-10-01 ,-0.03
Pendulum Encore,BLVO-EN091,Blazing Vortex,0.08,2021-07-03 ,0.08,2023-10-01 ,0.0
Underdog,BLVO-EN092,Blazing Vortex,1.71,2021-07-03 ,0.36,2023-10-01 ,-1.35
War Rock Fortia,BLVO-EN093,Blazing Vortex,0.2,2021-07-03 ,0.21,2023-10-01 ,0.01
War Rock Gactos,BLVO-EN094,Blazing Vortex,0.25,2021-07-03 ,0.22,2023-10-01 ,-0.03
War Rock Orpis,BLVO-EN095,Blazing Vortex,0.15,2021-07-03 ,0.05,2023-10-01 ,-0.1
War Rock Skyler,BLVO-EN096,Blazing Vortex,0.14,2021-07-03 ,0.05,2023-10-01 ,-0.09
War Rock Bashileos,BLVO-EN097,Blazing Vortex,1.04,2021-07-03 ,0.5,2023-10-01 ,-0.54
War Rock Ordeal,BLVO-EN098,Blazing Vortex,0.14,2021-07-03 ,0.06,2023-10-01 ,-0.08
Virtual World Oto-Hime - Toutou,BLVO-EN099,Blazing Vortex,0.32,2021-07-03 ,0.16,2023-10-01 ,-0.16
"Trishula, Dragon of the Ice Barrier (Starlight Rare)",BLVO-EN100,Blazing Vortex,349.47,2021-07-03 ,157.37,2023-10-01 ,-192.1
Armed Dragon Thunder LV10 (Starlight Rare),BLVO-EN001,Blazing Vortex,164.46,2021-07-03 ,63.4,2023-10-01 ,-101.06
Heavenly Zephyr - Miradora (Starlight Rare),BLVO-EN029,Blazing Vortex,155.77,2021-07-03 ,58.29,2023-10-01 ,-97.48
Live Twin Lil-la Treat (Starlight Rare),BLVO-EN028,Blazing Vortex,185.08,2021-07-03 ,98.26,2023-10-01 ,-86.82
Pot of Prosperity (Starlight Rare),BLVO-EN065,Blazing Vortex,432.05,2021-07-03 ,475.28,2023-10-01 ,43.23
General Wayne of the Ice Barrier,SDFC-EN001,Freezing Chains,0.26,2021-07-03 ,0.34,2023-10-01 ,0.08
Revealer of the Ice Barrier,SDFC-EN002,Freezing Chains,0.56,2021-07-03 ,0.75,2023-10-01 ,0.19
Zuijin of the Ice Barrier,SDFC-EN005,Freezing Chains,0.23,2021-07-03 ,0.22,2023-10-01 ,-0.01
Hexa Spirit of the Ice Barrier,SDFC-EN004,Freezing Chains,0.23,2021-07-03 ,0.28,2023-10-01 ,0.05
Speaker for the Ice Barriers,SDFC-EN003,Freezing Chains,0.5,2021-07-03 ,0.43,2023-10-01 ,-0.07
"Blizzed, Defender of the Ice Barrier",SDFC-EN006,Freezing Chains,0.18,2021-07-03 ,0.08,2023-10-01 ,-0.1
Cryomancer of the Ice Barrier,SDFC-EN007,Freezing Chains,0.12,2021-07-03 ,0.11,2023-10-01 ,-0.01
Prior of the Ice Barrier,SDFC-EN008,Freezing Chains,0.24,2021-07-03 ,0.2,2023-10-01 ,-0.04
Defender of the Ice Barrier,SDFC-EN009,Freezing Chains,0.18,2021-07-03 ,0.14,2023-10-01 ,-0.04
Warlock of the Ice Barrier,SDFC-EN010,Freezing Chains,0.15,2021-07-03 ,0.11,2023-10-01 ,-0.04
Spellbreaker of the Ice Barrier,SDFC-EN011,Freezing Chains,0.14,2021-07-03 ,0.14,2023-10-01 ,0.0
Strategist of the Ice Barrier,SDFC-EN012,Freezing Chains,0.16,2021-07-03 ,0.12,2023-10-01 ,-0.04
Dance Princess of the Ice Barrier,SDFC-EN013,Freezing Chains,0.2,2021-07-03 ,0.13,2023-10-01 ,-0.07
Dai-sojo of the Ice Barrier,SDFC-EN014,Freezing Chains,0.19,2021-07-03 ,0.18,2023-10-01 ,-0.01
General Raiho of the Ice Barrier,SDFC-EN015,Freezing Chains,0.17,2021-07-03 ,0.16,2023-10-01 ,-0.01
Medium of the Ice Barrier,SDFC-EN016,Freezing Chains,0.17,2021-07-03 ,0.15,2023-10-01 ,-0.02
General Gantala of the Ice Barrier,SDFC-EN017,Freezing Chains,0.17,2021-07-03 ,0.11,2023-10-01 ,-0.06
General Grunard of the Ice Barrier,SDFC-EN018,Freezing Chains,0.16,2021-07-03 ,0.09,2023-10-01 ,-0.07
Genex Controller,SDFC-EN019,Freezing Chains,0.22,2021-07-03 ,0.19,2023-10-01 ,-0.03
Genex Undine,SDFC-EN020,Freezing Chains,0.23,2021-07-03 ,0.17,2023-10-01 ,-0.06
Aqua Spirit,SDFC-EN021,Freezing Chains,0.26,2021-07-03 ,0.22,2023-10-01 ,-0.04
Dupe Frog,SDFC-EN022,Freezing Chains,0.52,2021-07-03 ,1.16,2023-10-01 ,0.64
Ronintoadin,SDFC-EN023,Freezing Chains,1.02,2021-07-03 ,0.36,2023-10-01 ,-0.66
Fishborg Launcher,SDFC-EN024,Freezing Chains,0.22,2021-07-03 ,0.17,2023-10-01 ,-0.05
Moulinglacia the Elemental Lord,SDFC-EN025,Freezing Chains,0.23,2021-07-03 ,0.14,2023-10-01 ,-0.09
Silent Angler,SDFC-EN026,Freezing Chains,0.2,2021-07-03 ,0.22,2023-10-01 ,0.02
Winds Over the Ice Barrier,SDFC-EN027,Freezing Chains,0.25,2021-07-03 ,0.31,2023-10-01 ,0.06
Freezing Chains of the Ice Barrier,SDFC-EN028,Freezing Chains,0.24,2021-07-03 ,0.35,2023-10-01 ,0.11
Magic Triangle of the Ice Barrier,SDFC-EN029,Freezing Chains,0.2,2021-07-03 ,0.15,2023-10-01 ,-0.05
Medallion of the Ice Barrier,SDFC-EN030,Freezing Chains,0.25,2021-07-03 ,0.24,2023-10-01 ,-0.01
Mirror of the Ice Barrier,SDFC-EN031,Freezing Chains,0.16,2021-07-03 ,0.19,2023-10-01 ,0.03
Where Arf Thou?,SDFC-EN034,Freezing Chains,0.49,2021-07-03 ,0.38,2023-10-01 ,-0.11
Appointer of the Red Lotus,SDFC-EN035,Freezing Chains,0.72,2021-07-03 ,0.98,2023-10-01 ,0.26
Fiendish Chain,SDFC-EN036,Freezing Chains,0.36,2021-07-03 ,0.36,2023-10-01 ,0.0
Eisbahn,SDFC-EN037,Freezing Chains,0.16,2021-07-03 ,0.11,2023-10-01 ,-0.05
Mind Drain,SDFC-EN038,Freezing Chains,0.24,2021-07-03 ,0.24,2023-10-01 ,0.0
Heavy Storm Duster,SDFC-EN039,Freezing Chains,0.38,2021-07-03 ,0.38,2023-10-01 ,0.0
Crackdown,SDFC-EN040,Freezing Chains,1.41,2021-07-03 ,0.63,2023-10-01 ,-0.78
"Trishula, Zero Dragon of the Ice Barrier",SDFC-EN041,Freezing Chains,1.82,2021-07-03 ,2.33,2023-10-01 ,0.51
"Dewloren, Tiger King of the Ice Barrier",SDFC-EN042,Freezing Chains,0.32,2021-07-03 ,0.26,2023-10-01 ,-0.06
Book of Moon,EGS1-EN024,Egyptian God Deck: Slifer the Sky Dragon,0.4,2021-07-03 ,0.69,2023-10-01 ,0.29
Book of Moon,EGS1-EN024,Egyptian God Deck: Slifer the Sky Dragon,0.4,2021-07-03 ,3.05,2023-10-01 ,2.65
"Brionac, Dragon of the Ice Barrier",SDFC-EN043,Freezing Chains,0.35,2021-07-03 ,0.38,2023-10-01 ,0.03
"Gungnir, Dragon of the Ice Barrier",SDFC-EN044,Freezing Chains,0.27,2021-07-03 ,0.23,2023-10-01 ,-0.04
"Trishula, Dragon of the Ice Barrier",SDFC-EN045,Freezing Chains,0.28,2021-07-03 ,0.22,2023-10-01 ,-0.06
Terror of Trishula,SDFC-EN046,Freezing Chains,0.24,2021-07-03 ,0.11,2023-10-01 ,-0.13
Terror of Trishula,GFTP-EN127,Ghosts From the Past,0.14,2021-07-03 ,0.18,2023-10-01 ,0.04
Surface,SDFC-EN033,Freezing Chains,0.3,2021-07-03 ,0.31,2023-10-01 ,0.01
Vampire Voivode,GFTP-EN001,Ghosts From the Past,0.94,2021-07-03 ,1.77,2023-10-01 ,0.83
Laval Archer,GFTP-EN002,Ghosts From the Past,0.23,2021-07-03 ,0.18,2023-10-01 ,-0.05
Lavalval Salamander,GFTP-EN003,Ghosts From the Past,0.44,2021-07-03 ,0.21,2023-10-01 ,-0.23
Hieratic Sky Dragon Overlord of Heliopolis,GFTP-EN004,Ghosts From the Past,1.17,2021-07-03 ,1.01,2023-10-01 ,-0.16
Hieratic Seal of Creation,GFTP-EN005,Ghosts From the Past,0.53,2021-07-03 ,0.24,2023-10-01 ,-0.29
Nehshaddoll Genius,GFTP-EN006,Ghosts From the Past,3.88,2021-07-03 ,1.08,2023-10-01 ,-2.8
Helshaddoll Hollow,GFTP-EN007,Ghosts From the Past,1.1,2021-07-03 ,2.73,2023-10-01 ,1.63
Nekroz of Areadbhair,GFTP-EN008,Ghosts From the Past,1.16,2021-07-03 ,0.52,2023-10-01 ,-0.64
Fairy Tail - Rochka,GFTP-EN009,Ghosts From the Past,0.49,2021-07-03 ,0.23,2023-10-01 ,-0.26
Fairy Tail Tales,GFTP-EN010,Ghosts From the Past,0.43,2021-07-03 ,0.21,2023-10-01 ,-0.22
Galaxy-Eyes Cipher X Dragon,GFTP-EN011,Ghosts From the Past,2.26,2021-07-03 ,3.59,2023-10-01 ,1.33
Time Thief Adjuster,GFTP-EN012,Ghosts From the Past,4.61,2021-07-03 ,2.04,2023-10-01 ,-2.57
Black Luster Soldier - Soldier of Chaos (Ghost Rare),GFTP-EN132,Ghosts From the Past,323.77,2021-07-03 ,104.17,2023-10-01 ,-219.6
Time Thief Double Barrel,GFTP-EN013,Ghosts From the Past,2.0,2021-07-03 ,0.52,2023-10-01 ,-1.48
Sunseed Genius Loci,GFTP-EN014,Ghosts From the Past,0.26,2021-07-03 ,1.01,2023-10-01 ,0.75
Firewall Dragon (Ghost Rare),GFTP-EN131,Ghosts From the Past,180.74,2021-07-03 ,40.45,2023-10-01 ,-140.29
Sunvine Maiden,GFTP-EN015,Ghosts From the Past,0.55,2021-07-03 ,0.27,2023-10-01 ,-0.28
Sunseed Shadow,GFTP-EN016,Ghosts From the Past,0.71,2021-07-03 ,0.23,2023-10-01 ,-0.48
Sunseed Twin,GFTP-EN017,Ghosts From the Past,0.53,2021-07-03 ,0.81,2023-10-01 ,0.28
Sunavalon Dryas,GFTP-EN018,Ghosts From the Past,0.95,2021-07-03 ,8.74,2023-10-01 ,7.79
Sunavalon Dryades,GFTP-EN019,Ghosts From the Past,0.46,2021-07-03 ,0.26,2023-10-01 ,-0.2
