Change ($),Date (1),Price (1),Date (2),Price (2),Name,Set Number,Change (%),Period,product_id,SetName,Edition,tcg_product_id,Rarity,imageUrl,tcgplayerUrl,Release Date,View,Price Bucket
0.73,2023-04-04,0.78,2023-10-01,1.51,Book of Moon,MGED-EN039,0.4834437086092716,180,30716,Maximum Gold: El Dorado,1st Edition,253948,Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/253948_200w.jpg,https://www.tcgplayer.com/product/253948/yugioh-maximum-gold-el-dorado-book-of-moon,2021-11-19,All Time,< $1
0.52,2023-07-03,0.3,2023-10-01,0.82,Deep Sea Diva,MGED-EN130,0.6341463414634146,90,30833,Maximum Gold: El Dorado,1st Edition,254432,Rare,https://tcgplayer-cdn.tcgplayer.com/product/254432_200w.jpg,https://www.tcgplayer.com/product/254432/yugioh-maximum-gold-el-dorado-deep-sea-diva,2021-11-19,All Time,< $1
0.87,2023-07-03,0.97,2023-10-01,1.84,Ghost Mourner & Moonlit Chill (Alternate Art),MGED-EN023,0.4728260869565217,90,30858,Maximum Gold: El Dorado,1st Edition,256127,Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/256127_200w.jpg,https://www.tcgplayer.com/product/256127/yugioh-maximum-gold-el-dorado-ghost-mourner-and-moonlit-chill-alternate-art,2021-11-19,All Time,< $1
1.17,2023-04-04,0.67,2023-10-01,1.84,Ghost Mourner & Moonlit Chill (Alternate Art),MGED-EN023,0.6358695652173914,180,30858,Maximum Gold: El Dorado,1st Edition,256127,Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/256127_200w.jpg,https://www.tcgplayer.com/product/256127/yugioh-maximum-gold-el-dorado-ghost-mourner-and-moonlit-chill-alternate-art,2021-11-19,All Time,< $1
0.51,2023-07-03,0.69,2023-10-01,1.2,Floowandereeze & Eglen,BODE-EN014,0.425,90,30559,Burst of Destiny,1st Edition,252548,Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/252548_200w.jpg,https://www.tcgplayer.com/product/252548/yugioh-burst-of-destiny-floowandereeze-and-eglen,2021-11-05,All Time,< $1
0.62,2023-07-03,0.78,2023-10-01,1.4,Magikey Maftea,DAMA-EN056,0.4428571428571429,90,30114,Dawn of Majesty,1st Edition,245810,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/245810_200w.jpg,https://www.tcgplayer.com/product/245810/yugioh-dawn-of-majesty-magikey-maftea,2021-08-12,All Time,< $1
0.55,2023-04-04,0.85,2023-10-01,1.4,Magikey Maftea,DAMA-EN056,0.3928571428571429,180,30114,Dawn of Majesty,1st Edition,245810,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/245810_200w.jpg,https://www.tcgplayer.com/product/245810/yugioh-dawn-of-majesty-magikey-maftea,2021-08-12,All Time,< $1
0.52,2023-07-03,0.99,2023-10-01,1.51,Evolzar Dolkka,KICO-EN043,0.3443708609271523,90,30005,Kings Court,1st Edition,242870,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/242870_200w.jpg,https://www.tcgplayer.com/product/242870/yugioh-kings-court-evolzar-dolkka,2021-07-08,All Time,< $1
0.71,2023-04-04,0.8,2023-10-01,1.51,Evolzar Dolkka,KICO-EN043,0.4701986754966888,180,30005,Kings Court,1st Edition,242870,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/242870_200w.jpg,https://www.tcgplayer.com/product/242870/yugioh-kings-court-evolzar-dolkka,2021-07-08,All Time,< $1
1.035,2023-07-03,0.835,2023-10-01,1.87,Book of Moon,EGS1-EN024,0.5534759358288771,90,29914,Egyptian God Deck: Slifer the Sky Dragon,1st Edition,241933,Common,https://tcgplayer-cdn.tcgplayer.com/product/241933_200w.jpg,https://www.tcgplayer.com/product/241933/yugioh-egyptian-god-deck-slifer-the-sky-dragon-book-of-moon,2021-06-17,All Time,< $1
1.01,2023-04-04,0.86,2023-10-01,1.87,Book of Moon,EGS1-EN024,0.5401069518716578,180,29914,Egyptian God Deck: Slifer the Sky Dragon,Unlimited,241933,Common,https://tcgplayer-cdn.tcgplayer.com/product/241933_200w.jpg,https://www.tcgplayer.com/product/241933/yugioh-egyptian-god-deck-slifer-the-sky-dragon-book-of-moon,2021-06-17,All Time,< $1
0.96,2023-07-03,0.5,2023-10-01,1.46,"Starry Night, Starry Dragon",GFTP-EN027,0.6575342465753424,90,29577,Ghosts From the Past,1st Edition,235750,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235750_200w.jpg,https://www.tcgplayer.com/product/235750/yugioh-ghosts-from-the-past-starry-night-starry-dragon,2021-04-16,All Time,< $1
0.91,2023-04-04,0.55,2023-10-01,1.46,"Starry Night, Starry Dragon",GFTP-EN027,0.6232876712328768,180,29577,Ghosts From the Past,1st Edition,235750,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235750_200w.jpg,https://www.tcgplayer.com/product/235750/yugioh-ghosts-from-the-past-starry-night-starry-dragon,2021-04-16,All Time,< $1
0.57,2023-07-03,0.21,2023-10-01,0.78,Salamangreat Falco,GFTP-EN089,0.7307692307692307,90,29646,Ghosts From the Past,1st Edition,235819,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235819_200w.jpg,https://www.tcgplayer.com/product/235819/yugioh-ghosts-from-the-past-salamangreat-falco,2021-04-16,All Time,< $1
0.5,2023-04-04,0.28,2023-10-01,0.78,Salamangreat Falco,GFTP-EN089,0.6410256410256411,180,29646,Ghosts From the Past,1st Edition,235819,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235819_200w.jpg,https://www.tcgplayer.com/product/235819/yugioh-ghosts-from-the-past-salamangreat-falco,2021-04-16,All Time,< $1
1.0,2023-07-03,0.85,2023-10-01,1.85,Hieratic Seal of the Heavenly Spheres,GFTP-EN053,0.5405405405405406,90,29623,Ghosts From the Past,1st Edition,235796,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235796_200w.jpg,https://www.tcgplayer.com/product/235796/yugioh-ghosts-from-the-past-hieratic-seal-of-the-heavenly-spheres,2021-04-16,All Time,< $1
0.91,2023-04-04,0.94,2023-10-01,1.85,Hieratic Seal of the Heavenly Spheres,GFTP-EN053,0.4918918918918919,180,29623,Ghosts From the Past,1st Edition,235796,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235796_200w.jpg,https://www.tcgplayer.com/product/235796/yugioh-ghosts-from-the-past-hieratic-seal-of-the-heavenly-spheres,2021-04-16,All Time,< $1
0.59,2023-07-03,0.49,2023-10-01,1.08,Black Rose Dragon,LDS2-EN110,0.5462962962962963,90,29246,Legendary Duelists: Season 2,1st Edition,230355,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/230355_200w.jpg,https://www.tcgplayer.com/product/230355/yugioh-legendary-duelists-season-2-black-rose-dragon,2021-01-22,All Time,< $1
0.55,2023-04-04,0.53,2023-10-01,1.08,Black Rose Dragon,LDS2-EN110,0.5092592592592593,180,29246,Legendary Duelists: Season 2,1st Edition,230355,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/230355_200w.jpg,https://www.tcgplayer.com/product/230355/yugioh-legendary-duelists-season-2-black-rose-dragon,2021-01-22,All Time,< $1
1.46,2023-07-03,0.86,2023-10-01,2.32,Fantastical Dragon Phantazmay (Alternate Art),MAGO-EN018,0.6293103448275862,90,28670,Maximum Gold,1st Edition,227438,Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/227438_200w.jpg,https://www.tcgplayer.com/product/227438/yugioh-maximum-gold-fantastical-dragon-phantazmay-alternate-art,2020-11-12,All Time,< $1
1.72,2023-04-04,0.6,2023-10-01,2.32,Fantastical Dragon Phantazmay (Alternate Art),MAGO-EN018,0.7413793103448276,180,28670,Maximum Gold,1st Edition,227438,Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/227438_200w.jpg,https://www.tcgplayer.com/product/227438/yugioh-maximum-gold-fantastical-dragon-phantazmay-alternate-art,2020-11-12,All Time,< $1
1.11,2023-09-13,1.21,2023-10-01,2.32,Fantastical Dragon Phantazmay (Alternate Art),MAGO-EN018,0.478448275862069,30,28670,Maximum Gold,1st Edition,227438,Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/227438_200w.jpg,https://www.tcgplayer.com/product/227438/yugioh-maximum-gold-fantastical-dragon-phantazmay-alternate-art,2020-11-12,All Time,$1-5
0.61,2023-07-03,0.79,2023-10-01,1.4,Successor Soul,MP20-EN246,0.4357142857142857,90,26331,2020 Tin of Lost Memories,1st Edition,220551,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/220551_200w.jpg,https://www.tcgplayer.com/product/220551/yugioh-2020-tin-of-lost-memories-successor-soul,2020-08-27,All Time,< $1
1.49,2023-07-03,0.27,2023-10-01,1.76,Unchained Soul of Anguish,MP20-EN174,0.8465909090909091,90,23598,2020 Tin of Lost Memories,1st Edition,220934,Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/220934_200w.jpg,https://www.tcgplayer.com/product/220934/yugioh-2020-tin-of-lost-memories-unchained-soul-of-anguish,2020-08-27,All Time,< $1
1.47,2023-04-04,0.29,2023-10-01,1.76,Unchained Soul of Anguish,MP20-EN174,0.8352272727272727,180,23598,2020 Tin of Lost Memories,1st Edition,220934,Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/220934_200w.jpg,https://www.tcgplayer.com/product/220934/yugioh-2020-tin-of-lost-memories-unchained-soul-of-anguish,2020-08-27,All Time,< $1
2.05,2023-07-03,0.64,2023-10-01,2.69,Unchained Twins - Aruha,MP20-EN152,0.7620817843866171,90,23196,2020 Tin of Lost Memories,1st Edition,220876,Common,https://tcgplayer-cdn.tcgplayer.com/product/220876_200w.jpg,https://www.tcgplayer.com/product/220876/yugioh-2020-tin-of-lost-memories-unchained-twins-aruha,2020-08-27,All Time,< $1
2.19,2023-04-04,0.5,2023-10-01,2.69,Unchained Twins - Aruha,MP20-EN152,0.8141263940520446,180,23196,2020 Tin of Lost Memories,1st Edition,220876,Common,https://tcgplayer-cdn.tcgplayer.com/product/220876_200w.jpg,https://www.tcgplayer.com/product/220876/yugioh-2020-tin-of-lost-memories-unchained-twins-aruha,2020-08-27,All Time,< $1
1.02,2023-07-03,0.71,2023-10-01,1.73,Shaddoll Schism,ROTD-EN076,0.5895953757225434,90,26596,Rise of the Duelist,1st Edition,218974,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/218974_200w.jpg,https://www.tcgplayer.com/product/218974/yugioh-rise-of-the-duelist-shaddoll-schism,2020-08-06,All Time,< $1
0.73,2023-07-03,0.48,2023-10-01,1.21,Salamangreat Sunlight Wolf,BLAR-EN089,0.6033057851239669,90,25828,Battles of Legend: Armageddon,1st Edition,218035,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/218035_200w.jpg,https://www.tcgplayer.com/product/218035/yugioh-battles-of-legend-armageddon-salamangreat-sunlight-wolf,2020-07-23,All Time,< $1
0.73,2023-04-04,0.48,2023-10-01,1.21,Salamangreat Sunlight Wolf,BLAR-EN089,0.6033057851239669,180,25828,Battles of Legend: Armageddon,1st Edition,218035,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/218035_200w.jpg,https://www.tcgplayer.com/product/218035/yugioh-battles-of-legend-armageddon-salamangreat-sunlight-wolf,2020-07-23,All Time,< $1
0.5,2023-07-03,0.87,2023-10-01,1.37,Parasite Paranoid,LDS1-EN071,0.36496350364963503,90,23172,Legendary Duelists: Season 1,1st Edition,217477,Common,https://tcgplayer-cdn.tcgplayer.com/product/217477_200w.jpg,https://www.tcgplayer.com/product/217477/yugioh-legendary-duelists-season-1-parasite-paranoid,2020-07-03,All Time,< $1
0.65,2023-04-04,0.72,2023-10-01,1.37,Parasite Paranoid,LDS1-EN071,0.4744525547445255,180,23172,Legendary Duelists: Season 1,1st Edition,217477,Common,https://tcgplayer-cdn.tcgplayer.com/product/217477_200w.jpg,https://www.tcgplayer.com/product/217477/yugioh-legendary-duelists-season-1-parasite-paranoid,2020-07-03,All Time,< $1
1.41,2023-07-03,0.7,2023-10-01,2.11,SPYRAL GEAR - Drone,OP13-EN011,0.6682464454976303,90,23616,OTS Tournament Pack 13,Unlimited,216647,Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/216647_200w.jpg,https://www.tcgplayer.com/product/216647/yugioh-ots-tournament-pack-13-spyral-gear-drone,2020-06-15,All Time,< $1
1.55,2023-04-04,0.56,2023-10-01,2.11,SPYRAL GEAR - Drone,OP13-EN011,0.7345971563981043,180,23616,OTS Tournament Pack 13,Unlimited,216647,Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/216647_200w.jpg,https://www.tcgplayer.com/product/216647/yugioh-ots-tournament-pack-13-spyral-gear-drone,2020-06-15,All Time,< $1
0.55,2023-07-03,0.53,2023-10-01,1.08,Byser Shock,SS05-ENB12,0.5092592592592593,90,23515,Speed Duel Starter Decks: Twisted Nightmares,1st Edition,214022,Common,https://tcgplayer-cdn.tcgplayer.com/product/214022_200w.jpg,https://www.tcgplayer.com/product/214022/yugioh-speed-duel-decks-twisted-nightmares-byser-shock,2020-05-15,All Time,< $1
0.56,2023-04-04,0.52,2023-10-01,1.08,Byser Shock,SS05-ENB12,0.5185185185185185,180,23515,Speed Duel Starter Decks: Twisted Nightmares,1st Edition,214022,Common,https://tcgplayer-cdn.tcgplayer.com/product/214022_200w.jpg,https://www.tcgplayer.com/product/214022/yugioh-speed-duel-decks-twisted-nightmares-byser-shock,2020-05-15,All Time,< $1
0.69,2023-07-03,0.95,2023-10-01,1.64,Rank-Up-Magic Quick Chaos,DLCS-EN044,0.4207317073170732,90,26391,Dragons of Legend: The Complete Series,1st Edition,221574,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/221574_200w.jpg,https://www.tcgplayer.com/product/221574/yugioh-dragons-of-legend-the-complete-series-rank-up-magic-quick-chaos,2020-05-15,All Time,< $1
0.86,2023-04-04,0.78,2023-10-01,1.64,Rank-Up-Magic Quick Chaos,DLCS-EN044,0.5243902439024389,180,26391,Dragons of Legend: The Complete Series,1st Edition,221574,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/221574_200w.jpg,https://www.tcgplayer.com/product/221574/yugioh-dragons-of-legend-the-complete-series-rank-up-magic-quick-chaos,2020-05-15,All Time,< $1
0.75,2023-07-03,0.65,2023-10-01,1.4,"Sauravis, the Ancient and Ascended",DUOV-EN075,0.5357142857142857,90,8841,Duel Overload,1st Edition,210284,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210284_200w.jpg,https://www.tcgplayer.com/product/210284/yugioh-duel-overload-sauravis-the-ancient-and-ascended,2020-03-19,All Time,< $1
0.63,2023-07-03,0.8,2023-10-01,1.43,Sales Pitch,IGAS-EN076,0.4405594405594406,90,22693,Ignition Assault,Unlimited,207960,Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/207960_200w.jpg,https://www.tcgplayer.com/product/207960/yugioh-ignition-assault-sales-pitch,2020-01-30,All Time,< $1
0.68,2023-04-04,0.75,2023-10-01,1.43,Sales Pitch,IGAS-EN076,0.4755244755244755,180,22693,Ignition Assault,1st Edition,207960,Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/207960_200w.jpg,https://www.tcgplayer.com/product/207960/yugioh-ignition-assault-sales-pitch,2020-01-30,All Time,< $1
0.53,2023-07-03,0.8,2023-10-01,1.33,Wailing of the Unchained Souls,CHIM-EN055,0.3984962406015037,90,18406,Chaos Impact,Unlimited,200861,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/200861_200w.jpg,https://www.tcgplayer.com/product/200861/yugioh-chaos-impact-wailing-of-the-unchained-souls,2019-10-24,All Time,< $1
0.58,2023-04-04,0.75,2023-10-01,1.33,Wailing of the Unchained Souls,CHIM-EN055,0.43609022556390975,180,18406,Chaos Impact,Unlimited,200861,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/200861_200w.jpg,https://www.tcgplayer.com/product/200861/yugioh-chaos-impact-wailing-of-the-unchained-souls,2019-10-24,All Time,< $1
0.56,2023-07-03,0.975,2023-10-01,1.535,F.A. Dawn Dragster,MP19-EN061,0.3648208469055375,90,6745,2019 Gold Sarcophagus Tin Mega Pack,Unlimited,197155,Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/197155_200w.jpg,https://www.tcgplayer.com/product/197155/yugioh-2019-gold-sarcophagus-tin-mega-pack-fa-dawn-dragster,2019-08-29,All Time,< $1
0.61,2023-07-03,0.77,2023-10-01,1.38,Borreload Furious Dragon,SDRR-EN042,0.4420289855072464,90,9187,Rokket Revolt,1st Edition,196857,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/196857_200w.jpg,https://www.tcgplayer.com/product/196857/yugioh-structure-deck-rokket-revolt-borreload-furious-dragon,2019-08-16,All Time,< $1
